FacilityID,CampsiteName,CampsiteLongitude,CampsiteLatitude
232446,65,-119.683914,37.550125
232447,44,-119.56504,37.737625
232451,78,-119.866541,37.799589
232709,9,-97.264983,31.586164
251938,32,-84.485965,35.076028
251945,K026,-75.543183,35.235531
250877,1,-115.38476,36.13011
252470,1,-78.717593,38.235217
232458,203,-86.115667,44.714692
233098,1,-92.434041,34.832915
233119,Site# 01,-92.758549,35.986173
10001419,1,-103.491884,43.461653
10001432,1,-103.572087,43.439502
10001451,01 - Tent Site,-93.345717,36.040823
270967,1,-71.794727,44.076366
233478,1,-89.3544,38.616093
10003362,1,-111.708643,46.651503
10003401,1,-111.684035,46.643316
10003508,Eagleview Shelter,-85.181022,32.917917
239417,1,-71.559243,44.047259
261696,1,-111.990061,46.993093
264411,Green River Lake Lodge,-109.858197,43.312133
10004152,1,-119.60264,37.741599
273785,1,-116.081203,47.267952
10004358,1,-84.634005,36.54572
247867,1,-120.12211,39.320852
273308,Shelter 1,-123.56927,43.9039
10004589,Earl Cook 1,-85.174451,32.992751
10004592,Hardley Creek Shelter,-85.191762,32.917472
10004594,Horace King Shelter #1,-85.177324,33.028136
10004596,Long Cane Shelter #1,-85.150565,32.959214
10004598,McGee Bridge Shelter,-85.119329,33.058737
10004600,Rocky Point Shelter #1,-85.205619,32.991655
10004602,Veasey Creek Shelter,-85.229038,32.997826
10004604,Yellowjacket Shelter,-85.102748,33.075072
10004657,Bay View House,-70.074826,41.958112
10004659,Beach View House,-69.948381,41.847716
10004661,Le Count Beach House,-69.978996,41.922798
10004663,Ocean View House,-69.977201,41.926892
10004665,Seashore Modern House,-69.993971,41.958068
10004667,Sunrise House,-69.977154,41.925892
233136,1,-118.228429,44.961995
233392,1,-112.831478,37.610919
10004932,1,-121.150866,48.716149
245489,1,-119.988746,38.480999
10005253,1,-120.007484,38.477314
273310,Shelter 1,-122.846,44.23
233462,Overlook Shelter,-95.70761,38.502001
10005354,Brown Shelter,-83.536787,38.117106
10005358,Somerfield North Recreation Area,-79.3937,39.7566
261822,1,-111.888228,46.739591
249579,1,-90.714522,46.038026
264686,Rocky Bend Group Site,-123.60603,45.239621
250796,Pavilion 1,-88.794753,30.399781
232758,25,-122.388941,40.87141
232524,32,-94.241276,34.225136
232566,Shelter Red Bud,-83.47045,37.343761
10006208,Joe Thompson Cabin,-154.04274,60.34805
233596,Priest River Shelter,-116.892201,48.178913
233600,Osprey Shelter,-116.775395,48.159246
233637,Day Use Shelter,-116.586491,48.236785
251834,A,-109.30606,38.81093
273975,1,-120.5162,47.935925
251839,The Ledge E Group Site,-109.6019,38.46731
10007130,1,-77.359267,38.563597
249981,Dove Bay West,-93.107065,48.602198
233591,13,-95.968415,36.898638
10007160,Spyglass Cabin,-116.196981,47.842073
246520,1,-73.050841,43.891853
233809,Maple Shelter,-83.370331,37.271644
233684,38,-90.128709,34.745229
233434,75,-93.266295,34.582118
253491,GRANITE BUTTE LOOKOUT,-112.464767,46.863017
233456,27,-89.821419,34.165982
233662,100,-89.893241,34.165115
249312,1,-111.204376,33.729439
249291,166,-111.011783,33.647647
232572,A001,-85.911351,36.30303
233379,A01,-77.415199,38.601709
261812,"8am-12pm, Red Spring Large Shelter",-115.419201,36.146266
251838,A,-109.815547,38.584969
255118,Group C,-109.359741,38.737646
10008944,1,-120.955844,40.155785
251969,Bermuda,-86.646164,46.471119
240242,1,-83.914604,34.708024
251544,6,-77.21752,38.976585
10009517,Gazebo,-105.222866,41.094444
249254,1,-111.203208,33.626105
10000305,1,-113.451086,34.536654
232746,S3,-92.146548,34.695727
10010172,1,-123.234366,40.736562
264886,1,-82.846517,35.860917
257007,Super Bowl Group Site,-109.621006,38.145151
10011396,1,-82.741402,35.381144
10012078,1,-93.302867,34.27836
10012141,Westwater Group Site,-109.103972,39.088768
252035,6,-122.405352,42.50051
252968,10,-78.385331,39.62394
251942,25,-88.528303,45.513017
251943,20,-79.258315,41.689648
251908,20,-85.001378,29.999931
253680,5,-107.427039,40.008413
251833,G2,-68.058302,44.380578
251976,Duck Lake,-86.651903,46.477119
251974,Hemlock,-86.6823,46.495764
252037,1,-120.187856,39.540214
238333,1,-123.129737,40.767946
238331,1,-123.343121,40.784244
10028875,Grapevine Hills 1,-103.255361,29.340892
236938,1,-121.866168,43.846861
233841,Popple Cabin,-91.784633,47.757325
237056,1,-121.848568,43.844482
10029004,1 (BOAT-IN ONLY),-121.009551,37.75055
10029012,1 (BOAT-IN ONLY),-120.805419,37.784997
236991,1,-121.890479,43.838011
252281,Creek Pasture Group Site,-109.634189,38.170228
252967,9,-78.715459,39.563864
10035048,1,-94.824117,35.361588
10035081,1,-94.826233,35.316691
251431,1,-75.544574,35.800081
261804,1,-111.568347,45.612116
10035281,1,-94.783744,35.321783
261802,1,-111.571469,45.605189
252036,25,-119.060483,48.792707
253917,46,-118.673856,36.791339
233488,A007,-86.130984,37.321996
10036862,PS1,-88.77364,39.40816
10036864,PS1,-88.781,39.41104
10036866,Ramp Point Picnic Shelter,-88.77647,39.41571
10036879,PS1,-88.62684,39.55117
10036881,PS1,-88.73621,39.45432
251958,A2,-114.221805,38.990427
10036906,PS1,-88.78068,39.40658
10036909,PS1,-88.6117,39.53339
10038712,1,-95.849423,37.257456
251956,Spruce Cove Shelter,-80.460491,41.270553
10038964,1,-95.781836,37.280047
10038980,R-01,-95.48395,34.197901
10038994,Reynolds Creek Group Site,-116.939492,48.55598
233263,1,-116.87533,48.548257
233264,1,-116.904167,48.565539
10039071,1,-95.209581,35.917942
10039857,1,-89.059985,45.936851
10039887,1D,-121.110083,39.428798
10039993,1,-121.124269,39.432533
232867,44,-121.794024,45.109139
10040012,Dogwood,-121.121394,39.414977
10040020,Long Valley Work Center Group Campground,-111.330161,34.52086
10040022,1,-121.165553,39.469653
10040047,2D,-121.121673,39.417556
10032028,Moqui Group Campground Spooner,-111.198467,34.596413
258667,1,-82.145891,35.815491
10040524,1,-96.247271,36.149894
10040547,1,-72.947757,43.048035
10040565,1,-112.603544,47.086394
10040569,1,-106.807859,39.375366
10040589,1,-112.584123,46.792449
10040591,1,-107.03256,38.91403
233481,1,-95.7567,38.2531
10041304,1,-83.43562,35.461215
256893,1,-111.225284,41.677702
256892,1,-112.783225,40.036565
10041495,1,-96.29116,35.952875
10041510,8,-96.280905,36.23885
10045243,Unit 1 ,-70.07284,42.044925
10045245,Unit 2,-70.072767,42.044872
10045247,Unit 3,-70.07269,42.044817
231990,1,-87.27,34.022222
232423,1,-87.319722,34.102778
10046288,2,-89.730706,34.421509
10046828,AA Barn,-105.83813,40.20194
233786,33,-89.3544,38.616093
10046933,1,-118.529897,35.574779
273309,Site 1,-123.66221,43.9858
10047120,1,-88.759159,46.079884
233196,1,-121.275895,43.711973
10047182,1,-121.395204,40.44297
10048964,Group Site 1,-114.802881,36.035558
10048970,Picnic Shelter,-72.023392,42.427326
